"database","table","column","type","compressed_bytes","uncompressed_bytes","marks_bytes","ratio","rows","part_name"
"exp02_projections","hourly_stats_mv_target","avg_duration","AggregateFunction(avg, UInt32)",44734294,78840000,3171,1.76,8760000,"all_1_37_4"
"exp02_projections","hourly_stats_mv_target","hits","AggregateFunction(count, UInt64)",8635381,8760000,1493,1.01,8760000,"all_1_37_4"
"exp02_projections","hourly_stats_mv_target","hour","DateTime",18902535,35040000,2718,1.85,8760000,"all_1_37_4"
"exp02_projections","hourly_stats_mv_target","page","LowCardinality(String)",85811,15326995,1143,178.61,8760000,"all_1_37_4"
"exp02_projections","hourly_stats_mv_target","sum_duration","AggregateFunction(sum, UInt32)",35619860,70080000,3049,1.97,8760000,"all_1_37_4"
"exp02_projections","web_analytics_base","country","LowCardinality(String)",951829,200390807,17141,210.53,200000000,"all_1_180_3"
"exp02_projections","web_analytics_base","device_type","LowCardinality(String)",951223,200390697,17141,210.67,200000000,"all_1_180_3"
"exp02_projections","web_analytics_base","duration_ms","UInt32",592856299,800000000,63164,1.35,200000000,"all_1_180_3"
"exp02_projections","web_analytics_base","page","LowCardinality(String)",1653129,349593763,22837,211.47,200000000,"all_1_180_3"
"exp02_projections","web_analytics_base","timestamp","DateTime",177121650,800000000,56444,4.52,200000000,"all_1_180_3"
"exp02_projections","web_analytics_base","user_id","UInt32",568934899,800000000,63315,1.41,200000000,"all_1_180_3"
"exp02_projections","web_analytics_mv_source","country","LowCardinality(String)",951829,200390807,17141,210.53,200000000,"all_1_188_4"
"exp02_projections","web_analytics_mv_source","device_type","LowCardinality(String)",951223,200390697,17141,210.67,200000000,"all_1_188_4"
"exp02_projections","web_analytics_mv_source","duration_ms","UInt32",592857465,800000000,63187,1.35,200000000,"all_1_188_4"
"exp02_projections","web_analytics_mv_source","page","LowCardinality(String)",1653129,349593763,22837,211.47,200000000,"all_1_188_4"
"exp02_projections","web_analytics_mv_source","timestamp","DateTime",177121650,800000000,56444,4.52,200000000,"all_1_188_4"
"exp02_projections","web_analytics_mv_source","user_id","UInt32",568938780,800000000,63343,1.41,200000000,"all_1_188_4"
"exp02_projections","web_analytics_proj","country","LowCardinality(String)",951829,200390807,17141,210.53,200000000,"all_1_189_4"
"exp02_projections","web_analytics_proj","device_type","LowCardinality(String)",951223,200390697,17141,210.67,200000000,"all_1_189_4"
"exp02_projections","web_analytics_proj","duration_ms","UInt32",592859960,800000000,63188,1.35,200000000,"all_1_189_4"
"exp02_projections","web_analytics_proj","page","LowCardinality(String)",1653129,349593763,22837,211.47,200000000,"all_1_189_4"
"exp02_projections","web_analytics_proj","timestamp","DateTime",177121650,800000000,56444,4.52,200000000,"all_1_189_4"
"exp02_projections","web_analytics_proj","user_id","UInt32",568936009,800000000,63321,1.41,200000000,"all_1_189_4"
