variant,batch_size,run,elapsed_ms,rows_per_sec
base,10000000,1,1072,9328358
base,10000000,2,1012,9881422
base,10000000,3,1058,9451795
base,10000000,4,1024,9765625
base,10000000,5,1065,9389671
base,10000000,6,1034,9671179
base,10000000,7,1010,9900990
base,10000000,8,973,10277492
base,10000000,9,1031,9699321
base,10000000,10,1047,9551098
proj,10000000,1,2085,4796163
proj,10000000,2,2018,4955401
proj,10000000,3,1990,5025125
proj,10000000,4,2058,4859086
proj,10000000,5,2100,4761904
proj,10000000,6,1983,5042864
proj,10000000,7,2026,4935834
proj,10000000,8,2057,4861448
proj,10000000,9,2100,4761904
proj,10000000,10,2143,4666355
mv,10000000,1,1533,6523157
mv,10000000,2,1490,6711409
mv,10000000,3,1461,6844626
mv,10000000,4,1487,6724949
mv,10000000,5,1496,6684491
mv,10000000,6,1491,6706908
mv,10000000,7,1519,6583278
mv,10000000,8,1498,6675567
mv,10000000,9,1545,6472491
mv,10000000,10,1488,6720430
