"query_start_time","query_duration_ms","read_rows","read_bytes","result_rows","result_bytes","memory_usage","real_time_us","user_time_us","system_time_us","disk_read_us","cpu_wait_us","query"
"2026-02-14 15:42:31",1,1,16,1,136,78768,2401,1692,44,0,0,"SELECT count() FROM exp02_projections.web_analytics_base"
"2026-02-14 15:42:37",1,1,16,1,136,77840,1836,1299,32,0,0,"SELECT count() FROM exp02_projections.web_analytics_base"
"2026-02-14 15:42:42",1,1,16,1,136,77792,1811,182,1130,0,0,"SELECT count() FROM exp02_projections.web_analytics_base"
"2026-02-14 15:42:48",1,1,16,1,136,77792,1804,234,1096,0,0,"SELECT count() FROM exp02_projections.web_analytics_base"
"2026-02-14 15:42:53",1,1,16,1,136,78912,2101,221,1271,0,0,"SELECT count() FROM exp02_projections.web_analytics_base"
"2026-02-14 15:42:59",1,1,16,1,136,77840,2069,0,1515,0,0,"SELECT count() FROM exp02_projections.web_analytics_base"
"2026-02-14 15:43:05",2,1,16,1,136,78896,2811,471,1275,0,0,"SELECT count() FROM exp02_projections.web_analytics_base"
"2026-02-14 15:43:11",1,1,16,1,136,77824,1698,142,1130,0,0,"SELECT count() FROM exp02_projections.web_analytics_base"
"2026-02-14 15:43:20",1,1,16,1,136,75936,1927,986,446,0,0,"SELECT count() FROM exp02_projections.web_analytics_base"
"2026-02-14 15:43:45",1,1,16,1,136,76400,1943,247,1141,0,0,"SELECT count() FROM exp02_projections.web_analytics_proj"
"2026-02-14 15:43:53",1,1,16,1,136,77776,1632,146,1094,0,0,"SELECT count() FROM exp02_projections.web_analytics_proj"
"2026-02-14 15:44:04",1,1,16,1,136,77824,2200,430,1150,0,0,"SELECT count() FROM exp02_projections.web_analytics_proj"
"2026-02-14 15:44:15",1,1,16,1,136,78896,1887,324,1074,0,0,"SELECT count() FROM exp02_projections.web_analytics_proj"
"2026-02-14 15:44:27",1,1,16,1,136,77792,2393,914,711,0,0,"SELECT count() FROM exp02_projections.web_analytics_proj"
"2026-02-14 15:44:44",2,1,16,1,136,77824,2617,1822,34,0,0,"SELECT count() FROM exp02_projections.web_analytics_proj"
"2026-02-14 15:44:58",1,1,16,1,136,78896,2039,504,1023,0,0,"SELECT count() FROM exp02_projections.web_analytics_proj"
"2026-02-14 15:45:12",1,1,16,1,136,77792,1995,0,1522,0,0,"SELECT count() FROM exp02_projections.web_analytics_proj"
"2026-02-14 15:45:39",4,1,16,1,136,77120,5342,804,1377,0,2194,"SELECT count() FROM exp02_projections.web_analytics_mv_source"
"2026-02-14 15:45:55",8,1,16,1,136,71936,8878,1128,736,0,3452,"SELECT count() FROM exp02_projections.web_analytics_mv_source"
"2026-02-14 15:46:11",1,1,16,1,136,71936,2102,938,592,0,0,"SELECT count() FROM exp02_projections.web_analytics_mv_source"
"2026-02-14 15:46:27",2,1,16,1,136,76640,2477,842,800,0,56,"SELECT count() FROM exp02_projections.web_analytics_mv_source"
"2026-02-14 15:46:41",1,1,16,1,136,78000,1871,845,566,0,0,"SELECT count() FROM exp02_projections.web_analytics_mv_source"
"2026-02-14 15:46:56",2,1,16,1,4496,81024,2413,238,1649,0,0,"SELECT 'base', count() FROM exp02_projections.web_analytics_base;"
"2026-02-14 15:46:56",1,1,16,1,4496,82400,2146,1687,38,0,0,"SELECT 'proj', count() FROM exp02_projections.web_analytics_proj;"
"2026-02-14 15:46:56",1,1,16,1,4496,83696,1737,337,1007,0,0,"SELECT 'mv_source', count() FROM exp02_projections.web_analytics_mv_source;"
"2026-02-14 15:46:56",1,1,16,1,4496,81392,1249,164,669,0,0,"SELECT 'mv_target', count() FROM exp02_projections.hourly_stats_mv_target;"
"2026-02-14 15:51:17",10,8192,39020,24,7935,600895,102768,8787,2769,167,202,"-- Correctness Test 1: Q1 Dashboard Rollup - Base vs Projection vs MV
-- Q1 on base table
SELECT 'Q1_base',
    toStartOfHour(timestamp) AS hour,
    page,
    count() AS hits,
    avg(duration_ms) AS avg_duration
FROM exp02_projections.web_analytics_base
WHERE page = '/page/42' AND timestamp >= '2024-06-01' AND timestamp < '2024-06-02'
GROUP BY hour, page
ORDER BY hour
FORMAT TabSeparatedWithNames;"
"2026-02-14 15:51:17",12,8192,39020,24,7935,605087,117378,9399,4207,103,190,"-- Q1 on proj table (should use proj_hourly_stats)
SELECT 'Q1_proj',
    toStartOfHour(timestamp) AS hour,
    page,
    count() AS hits,
    avg(duration_ms) AS avg_duration
FROM exp02_projections.web_analytics_proj
WHERE page = '/page/42' AND timestamp >= '2024-06-01' AND timestamp < '2024-06-02'
GROUP BY hour, page
ORDER BY hour
FORMAT TabSeparatedWithNames;"
"2026-02-14 15:51:17",6,16384,177425,24,7935,1108695,40851,4145,3882,124,0,"-- Q1 on MV
SELECT 'Q1_mv',
    page,
    hour,
    countMerge(hits) AS hits,
    avgMerge(avg_duration) AS avg_duration
FROM exp02_projections.hourly_stats_mv_target
WHERE page = '/page/42' AND hour >= '2024-06-01' AND hour < '2024-06-02'
GROUP BY page, hour
ORDER BY hour
FORMAT TabSeparatedWithNames;"
"2026-02-14 15:51:17",31,33308672,40155706,1,4632,7568864,321774,210932,20866,5182,2229,"-- Q2: Country filter - Base vs Proj
SELECT 'Q2_base', count(), avg(duration_ms)
FROM exp02_projections.web_analytics_base
WHERE country = 'DE' AND timestamp >= '2024-03-01' AND timestamp < '2024-04-01'
FORMAT TabSeparatedWithNames;"
"2026-02-14 15:51:17",35,352256,3170304,1,4632,2871464,149615,38505,5480,487,39,"SELECT 'Q2_proj', count(), avg(duration_ms)
FROM exp02_projections.web_analytics_proj
WHERE country = 'DE' AND timestamp >= '2024-03-01' AND timestamp < '2024-04-01'
FORMAT TabSeparatedWithNames;"
"2026-02-14 15:51:17",201,200000000,1149209600,10,62268,12470544,3554669,2945391,148415,117252,30220,"-- Q3: Top-K pages by avg duration - Base vs Proj vs MV
SELECT 'Q3_base', page, avg(duration_ms) AS avg_dur, count() AS hits
FROM exp02_projections.web_analytics_base
GROUP BY page ORDER BY avg_dur DESC LIMIT 10
FORMAT TabSeparatedWithNames;"
"2026-02-14 15:51:17",37,8760000,365724544,10,19224,77623098,595050,329662,62410,13044,30233,"SELECT 'Q3_proj', page, avg(duration_ms) AS avg_dur, count() AS hits
FROM exp02_projections.web_analytics_proj
GROUP BY page ORDER BY avg_dur DESC LIMIT 10
FORMAT TabSeparatedWithNames;"
"2026-02-14 15:51:17",39,8760000,365724544,10,19224,59276587,638794,348621,32791,13983,22570,"SELECT 'Q3_mv', page, avgMerge(avg_duration) AS avg_dur, countMerge(hits) AS hits
FROM exp02_projections.hourly_stats_mv_target
GROUP BY page ORDER BY avg_dur DESC LIMIT 10
FORMAT TabSeparatedWithNames;"
"2026-02-14 15:52:26",0,0,0,0,0,3536,338,175,0,0,0,"SYSTEM STOP MERGES exp02_projections.web_analytics_base"
"2026-02-14 15:52:27",0,0,0,0,0,3536,329,0,0,0,0,"SYSTEM STOP MERGES exp02_projections.web_analytics_proj"
"2026-02-14 15:52:27",0,0,0,0,0,3600,314,0,0,0,0,"SYSTEM STOP MERGES exp02_projections.web_analytics_mv_source"
"2026-02-14 15:52:27",0,0,0,0,0,3536,343,205,0,0,0,"SYSTEM STOP MERGES exp02_projections.hourly_stats_mv_target"
"2026-02-14 15:53:52",0,0,0,0,0,3536,355,53,0,0,0,"SYSTEM START MERGES exp02_projections.web_analytics_base"
"2026-02-14 15:53:53",0,0,0,0,0,3536,342,0,0,0,0,"SYSTEM START MERGES exp02_projections.web_analytics_proj"
